符号：➜ 	cmd
符号：☀	sunny
符号：☔	rain
符号：⛈	storm
符号：⛆	haze
符号：⛅	cloudy
符号：❄	snow
符号：⚡	lightening
符号：🌊	tsunami
符号：🌀	typhoon
符号：🌁	fog
符号：🌃	night
符号：🌄	sunrise
符号：🌅	dawn
符号：🌆	dusk
符号：🌇	sunset
符号：🌈	rainbow
符号：🌋	volcano
符号：🌌	milkyway
符号：🌍	world
符号：🌐	globe
符号：🌑	newmoon
符号：🌒	lunar
符号：🌕	fullmoon
符号：🌙	crescent
符号：🌙	moon
符号：🌝	full
符号：🌞	sun
符号：🌟	star
符号：🌰	chestnut
符号：🌰	nut
符号：🌱	seed
符号：🌱	tree
符号：🌲	evergreen
符号：🌳	deciduous
符号：🌴	palm
符号：🌵	cactus
符号：🌷	tulip
符号：🌷	flower
符号：🌸	cherry
符号：🌹	rose
符号：🌺	hibiscus
符号：🌼	blossom
符号：🌽	maize
符号：🌽	harvest
符号：🌾	rice
符号：🌿	herb
符号：🌿	leaf
符号：🍀	fourleaf
符号：🍁	maple
符号：🍂	fallen
符号：🍃	wind
符号：🍄	mushroom
符号：🍅	tomato
符号：🍅	vagetable
符号：🍆	eggplant
符号：🍆	vegetable
符号：🍇	grape
符号：🍈	pomelo
符号：🍉	watermelon
符号：🍊	orange
符号：🍋	lemon
符号：🍌	banana
符号：🍍	pinapple
符号：🍎	apple
符号：🍎	red
符号：🍏	green
符号：🍐	pear
符号：🍑	peach
符号：🍓	strawberry
符号：🍔	hamberger
符号：🍕	pie
符号：🍖	meat
符号：🍖	bone
符号：🍗	chicken
符号：🍗	leg
符号：🍘	cracker
符号：🍙	ball
符号：🍛	curry
符号：🍜	nuddle
符号：🍝	spaghetti
符号：🍞	bread
符号：🍟	french
符号：🍟	fries
符号：🍠	sweet
符号：🍠	potato
符号：🍡	dango
符号：🍡	skewer
符号：🍢	oden
符号：🍣	sushi
符号：🍤	fried
符号：🍤	shrimp
符号：🍥	fish
符号：🍥	cake
符号：🍦	icecream
符号：🍧	shaved
符号：🍩	doughnut
符号：🍪	biscuit
符号：🍫	chocolate
符号：🍬	candy
符号：🍭	lollipop
符号：🍮	custard
符号：🍯	honey
符号：🍯	pot
符号：🍰	slice
符号：🍱	bentobox
符号：🍱	meal
符号：🍳	cooking
符号：🍳	pan
符号：🍵	tea
符号：🍵	cup
符号：🍶	shake
符号：🍶	bottle
符号：🍷	wine
符号：🍷	glass
符号：🍸	cocktail
符号：🍹	drink
符号：🍹	tropical
符号：🍺	beer
符号：🍺	mug
符号：🍻	cheers
符号：🎀	ribbon
符号：🎁	gift
符号：🎁	package
符号：🎂	birthday
符号：🎃	halloween
符号：🎃	lantern
符号：🎄	christmas
符号：🎅	father
符号：🎆	fireworks
符号：🎇	spark
符号：🎈	balloon
符号：🎉	popper
符号：🎊	confetti
符号：🎊	congratulations
符号：🎋	tanabata
符号：🎌	cross
符号：🎌	flag
符号：🎍	pine
符号：🎍	japan
符号：🎎	doll
符号：🎏	carp
符号：🎐	windchime
符号：🎑	mid
符号：🎑	autumn
符号：🎒	school
符号：🎒	entrence
符号：🎓	graduation
符号：🎓	cap
符号：🎠	carouselhorse
符号：🎠	park
符号：🎡	ferriswheel
符号：🎢	rollercoaster
符号：🎣	fishing
符号：🎤	microphone
符号：🎤	karaokay
符号：🎥	movie
符号：🎥	cinema
符号：🎧	headphone
符号：🎧	music
符号：🎨	painting
符号：🎨	art
符号：🎩	theater
符号：🎩	magician
符号：🎪	circus
符号：🎫	ticket
符号：🎭	mask
符号：🎮	video
符号：🎮	game
符号：🎯	dart
符号：🎯	target
符号：🎰	gamble
符号：🎱	billiards
符号：⛄	snowman
符号：🎲	dice
符号：🎳	bowling
符号：🎴	cards
符号：🎵	note
符号：🎶	notes
符号：🎷	saxophone
符号：🎸	guitar
符号：🎹	piano
符号：🎺	trumpet
符号：🎻	violin
符号：🎼	script
符号：🎽	sport
符号：🎽	shirt
符号：🎾	tennis
符号：🎿	ski
符号：🎿	boot
符号：🏀	basket
符号：🏁	racing
符号：🏂	snowboard
符号：🏃	run
符号：🏃	race
符号：🏄	surf
符号：🏆	win
符号：🏇	horse
符号：🏈	football
符号：🏉	rugby
符号：🏊	swim
符号：🏠	house
符号：🏡	garden
符号：🏢	office
符号：🏢	building
符号：🏣	post
符号：🏤	europe
符号：🏥	hospital
符号：🏦	bank
符号：🏨	hotel
符号：🏪	convenience
符号：🏪	store
符号：🏬	department
符号：🏭	factory
符号：🏮	izakaya
符号：🏯	castle
符号：🐀	rat
符号：🐀	mouse
符号：🐂	ox
符号：🐃	buffalo
符号：🐄	cow
符号：🐅	tiger
符号：🐅	cat
符号：🐆	leopard
符号：🐇	rabbit
符号：🐉	dragon
符号：🐉	snake
符号：🐊	crocodile
符号：🐋	wheal
符号：🐌	snail
符号：🐌	insect
符号：🐏	ram
符号：🐏	sheep
符号：🐐	goat
符号：🐒	monkey
符号：🐓	cock
符号：🐕	dog
符号：🐖	pig
符号：🐗	boar
符号：🐘	elephant
符号：🐙	octopus
符号：🐚	shell
符号：🐜	ant
符号：🐝	bee
符号：🐞	beetle
符号：🐞	incect
符号：🐢	turtle
符号：🐣	chick
符号：🐦	bird
符号：🐧	penguin
符号：🐨	koala
符号：🐩	poodle
符号：🐪	camel
符号：🐬	dolphin
符号：🐭	shu
符号：🐮	niu
符号：🐯	hu
符号：🐰	rabit
符号：🐰	tu
符号：🐲	long
符号：🐍	she
符号：🐴	ma
符号：🐏	yang
符号：🐵	hou
符号：🐔	ji
符号：🐶	gou
符号：🐷	zhu
符号：🐸	frog
符号：🐹	hamster
符号：🐺	wolf
符号：🐻	bear
符号：🐽	stupid
符号：🐾	paw
符号：👀	eye
符号：👂	ear
符号：👃	nose
符号：👄	mouth
符号：👅	tougue
符号：👆	direction
符号：👇	down
符号：👈	left
符号：👉	right
符号：👊	fist
符号：👍	good
符号：👎	bad
符号：👏	clap
符号：👐	no
符号：🙏	bless
符号：👑	clown
符号：👒	hat
符号：👓	glasses
符号：👖	pants
符号：👗	dress
符号：👙	bikini
符号：👛	bag
符号：👞	shoe
符号：👠	highheeled
符号：👣	footprint
符号：👤	portrait
符号：👦	boy
符号：👦	head
符号：👧	girl
符号：👨	man
符号：👩	woman
符号：👮	police
符号：👱	western
符号：👲	chinese
符号：👳	arabic
符号：👴	old
符号：👷	worker
符号：👸	queen
符号：👹	evil
符号：👻	ghost
符号：👼	angle
符号：💀	dead
符号：👯	dancing
符号：👰	wendding
符号：👪	people
符号：💁	role
符号：🙆	lookfar
符号：🙇	working
符号：🙋	hand
符号：🙋	raise
符号：🙍	upset
符号：🙎	stare
符号：🏻	white
符号：🏼	yellow
符号：🏽	brown
符号：🏾	dark
符号：🏿	black
符号：💄	lip
符号：💄	stick
符号：💅	nail
符号：💅	polisher
符号：💆	face
符号：💆	massage
符号：💇	hair
符号：💇	cut
符号：💌	letter
符号：💍	ring
符号：💎	diamond
符号：💐	bouquet
符号：💒	wedding
符号：💓	heart
符号：💔	broken
符号：💠	icon
符号：💡	bulb
符号：💢	hit
符号：💣	bomb
符号：💤	sleepy
符号：💥	collision
符号：💦	sweat
符号：💧	tear
符号：💨	dash
符号：💩	shit
符号：💪	muscle
符号：💫	dizzy
符号：💬	speech
符号：💭	thought
符号：💳	card
符号：💴	bill
符号：💹	stock
符号：💺	chair
符号：💺	seat
符号：💻	computer
符号：💽	disc
符号：💾	floppy
符号：📁	folder
符号：📃	page
符号：📃	print
符号：📅	calendar
符号：📈	chart
符号：📈	prosperity
符号：📉	depression
符号：📊	bar
符号：📋	clip
符号：📋	board
符号：📌	pin
符号：📏	ruler
符号：📑	book
符号：📑	mark
符号：📖	open
符号：📘	blue
符号：📚	books
符号：📛	name
符号：🔞	numeric
符号：🔞	sign
符号：🔠	uppercase
符号：🔡	lowercase
符号：🔢	numbermode
符号：🔣	punctmode
符号：🔤	englishmode
符号：⭕	yes
符号：📝	memo
符号：📞	tele
符号：📞	phone
符号：📟	pager
符号：📠	fax
符号：📡	antenna
符号：📢	speaker
符号：📤	outbox
符号：📥	inbox
符号：📪	mail
符号：📪	box
符号：📬	newmail
符号：📬	mailbox
符号：📭	empty
符号：📯	horn
符号：📰	newspaper
符号：📱	mobile
符号：📶	signal
符号：💉	inject
符号：💊	pill
符号：📷	camara
符号：📹	vcr
符号：📻	radio
